ProductId,Category,Name,Description,Price,Color,ImageUrl,Size,CategoryId
1,BAGS,FABRIC BELT BAG,Fabric belt bag. Adjustable strap. Front zip pocket. Zip closure.,28.49,beige,"['C:\\DatasetLicenta\\women_images\\FABRIC BELT BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FABRIC BELT BAG_img_1.jpg']",One Size,1
2,BAGS,FABRIC CROSSBODY BAG,Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.,31.79,beige,"['C:\\DatasetLicenta\\women_images\\FABRIC CROSSBODY BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FABRIC CROSSBODY BAG_img_1.jpg']",One Size,1
3,BAGS,CROSSBODY PURSE,Crossbody bag that converts into a clutch. Interior with several compartments. Detachable chain shoulder strap. Golden metal hardware. Zip closure.,25.19,white,"['C:\\DatasetLicenta\\women_images\\CROSSBODY PURSE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY PURSE_img_1.jpg']",One Size,1
4,BAGS,CROSSBODY BAG,Crossbody bag with adjustable strap. Lining. Zip closure.,31.79,black,"['C:\\DatasetLicenta\\women_images\\CROSSBODY BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY BAG_img_1.jpg']",One Size,1
5,BAGS,CROCHET BUCKET BAG WITH FRINGING,Crochet bucket bag with fringing on the sides. Shoulder strap. Magnetic clasp closure. ,54.89,black,"['C:\\DatasetLicenta\\women_images\\CROCHET BUCKET BAG WITH FRINGING_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROCHET BUCKET BAG WITH FRINGING_img_1.jpg']",One Size,1
6,BAGS,FAUX PEARL SHOULDER BAG,Shoulder bag with faux pearl exterior. Shoulder strap and detachable crossbody strap. Lined interior. Magnetic clasp closure.,36.19,white,"['C:\\DatasetLicenta\\women_images\\FAUX PEARL SHOULDER BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FAUX PEARL SHOULDER BAG_img_1.jpg']",One Size,1
7,BAGS,PATCHWORK SHOULDER BAG,Shoulder bag in patchwork-effect fabric. Front and side flap pockets. Shoulder straps. Zip closure.,54.89,khaki,"['C:\\DatasetLicenta\\women_images\\PATCHWORK SHOULDER BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PATCHWORK SHOULDER BAG_img_1.jpg']",One Size,1
8,BAGS,PATCHWORK BELT BAG WITH POCKETS,Belt bag in denim fabric. Patchwork-effect pockets in different sizes. Adjustable strap. ,31.79,blue,"['C:\\DatasetLicenta\\women_images\\PATCHWORK BELT BAG WITH POCKETS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PATCHWORK BELT BAG WITH POCKETS_img_1.jpg']",One Size,1
9,BAGS,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Shoulder straps. Zip closure. ,65.89,gold,"['C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_1.jpg']",One Size,1
10,BAGS,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Handles and shoulder straps. Magnetic clasp closure. ,36.19,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_1.jpg']",One Size,1
11,BAGS,METALLIC MINAUDIÃˆRE,Oval minaudiÃ¨re. Brushed metallic effect. Chain crossbody strap. Metal clasp closure.,43.89,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC MINAUDIÃˆRE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC MINAUDIÃˆRE_img_1.jpg']",One Size,1
12,BAGS,CROSSBODY BUCKET BAG,Bucket bag. Handle and detachable and adjustable crossbody strap. Inner fabric bag with gathered closure.,31.79,brown,"['C:\\DatasetLicenta\\women_images\\CROSSBODY BUCKET BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY BUCKET BAG_img_1.jpg']",One Size,1
13,BLAZERS,TAILORED DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Double-breasted button fastening on the front.,61.49,black,"['C:\\DatasetLicenta\\women_images\\TAILORED DOUBLE-BREASTED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED DOUBLE-BREASTED BLAZER_img_1.jpg']","XS, S, M, L",2
14,BLAZERS,STRIPE TEXTURED BLAZER,Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.,65.89,gray,"['C:\\DatasetLicenta\\women_images\\STRIPE TEXTURED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\STRIPE TEXTURED BLAZER_img_1.jpg']","XS, S, M, L",2
15,BLAZERS,TAILORED WAISTCOAT,Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,32.89,black,"['C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
16,BLAZERS,BLAZER WITH ROLLED-UP SLEEVES,Open blazer with a lapel collar and padded shoulders. Turn-up sleeves falling below the elbow with sleeve tabs and a golden button. Front flap pockets.,49.39,black,"['C:\\DatasetLicenta\\women_images\\BLAZER WITH ROLLED-UP SLEEVES_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\BLAZER WITH ROLLED-UP SLEEVES_img_1.jpg']","XS, S, M, L",2
17,BLAZERS,HIGH NECK TEXTURED BLAZER,Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.,65.89,white,"['C:\\DatasetLicenta\\women_images\\HIGH NECK TEXTURED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\HIGH NECK TEXTURED BLAZER_img_1.jpg']","XS, S, M, L",2
18,BLAZERS,SHORT TAILORED WAISTCOAT,V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,32.89,brown,"['C:\\DatasetLicenta\\women_images\\SHORT TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SHORT TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
19,BLAZERS,FITTED BLAZER WITH SEAMS,Blazer with a lapel collar and long sleeves with shoulder pads. Front flap pockets. Visible seam detail on the waist. Fastens at the front with buttons.,65.89,dark blue,"['C:\\DatasetLicenta\\women_images\\FITTED BLAZER WITH SEAMS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED BLAZER WITH SEAMS_img_1.jpg']","XS, S, M, L",2
20,BLAZERS,LONG BLAZER WITH BELT,"Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Belt with buckle lined in matching fabric. Contrast lining. Double-breasted fastening with covered buttons.",83.49, blue,"['C:\\DatasetLicenta\\women_images\\LONG BLAZER WITH BELT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\LONG BLAZER WITH BELT_img_1.jpg']","XS, S, M, L",2
21,BLAZERS,CROPPED BLAZER WITH FEATHERS,Cropped blazer featuring a lapel collar and long sleeves with matching detachable feathers. False welt pockets on the front. Matching lining. Front button fastening.,131.89,pink,['C:\\DatasetLicenta\\women_images\\CROPPED BLAZER WITH FEATHERS_img_0.jpg'],"XS, S, M, L",2
22,BLAZERS,CAPE BLAZER,"Open blazer with no lapels, long cape-style sleeves and matching lining.",65.89,white,"['C:\\DatasetLicenta\\women_images\\CAPE BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CAPE BLAZER_img_1.jpg']","XS, S, M, L",2
23,BLAZERS,TAILORED WAISTCOAT,Fitted V-neck waistcoat with front button fastening.,32.89,beige,"['C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
24,BLAZERS,TAILORED WAISTCOAT,V-neck waistcoat. Featuring false jetted pockets and button fastening on the front.,36.19,white,"['C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
25,BLAZERS,CROPPED BLAZER WITH POCKET,Cropped blazer with a lapel collar and long sleeves with vents and buttons. Buttoned welt pocket on the chest. Matching lining.,54.89,black,"['C:\\DatasetLicenta\\women_images\\CROPPED BLAZER WITH POCKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROPPED BLAZER WITH POCKET_img_1.jpg']","XS, S, M, L",2
26,BLAZERS,SATIN LAPEL COLLAR BLAZER,Satin blazer with a lapel collar and long sleeves with padded shoulders. Button fastening on the front.,54.89,black,"['C:\\DatasetLicenta\\women_images\\SATIN LAPEL COLLAR BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN LAPEL COLLAR BLAZER_img_1.jpg']","XS, S, M, L",2
27,DRESSES_JUMPSUITS,PRINTED PLEATED JUMPSUIT,Playsuit with a surplice neckline and long sleeves. Elasticated waist. Lining at the bottom. Fastening with buttoned opening at the back.,54.89,blue,"['C:\\DatasetLicenta\\women_images\\PRINTED PLEATED JUMPSUIT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PRINTED PLEATED JUMPSUIT_img_1.jpg']","XS, S, M, L",3
28,DRESSES_JUMPSUITS,PLAYSUIT WITH CUT-OUT DETAIL,Sleeveless playsuit with a round neck. Pleated detail on the front and an opening at the waist. Invisible back zip fastening and openings with metal buttons. Split hem at the side and gathered detail.,43.89,dark blue,"['C:\\DatasetLicenta\\women_images\\PLAYSUIT WITH CUT-OUT DETAIL_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PLAYSUIT WITH CUT-OUT DETAIL_img_1.jpg']","XS, S, M, L",3
29,DRESSES_JUMPSUITS,POLYAMIDE MIDI DRESS,Midi dress made of polyamide and elastane blend. Round neck and drop sleeves.,25.19,brown,"['C:\\DatasetLicenta\\women_images\\POLYAMIDE MIDI DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\POLYAMIDE MIDI DRESS_img_1.jpg']","XS, S, M, L",3
30,DRESSES_JUMPSUITS,FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL,Dress made of a polyamide and elastane blend. Asymmetric neckline and thin elastic straps. Gathered detail and cut-out detail at the waist.,28.49,white,"['C:\\DatasetLicenta\\women_images\\FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL_img_1.jpg']","XS, S, M, L",3
31,DRESSES_JUMPSUITS,METALLIC STRAPLESS DRESS,Off-the-shoulder midi dress with a straight-cut neckline. Metallic fabric. Gathered details. Back slit at the hem. Invisible side zip fastening.,43.89,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC STRAPLESS DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC STRAPLESS DRESS_img_1.jpg']","XS, S, M, L",3
32,DRESSES_JUMPSUITS,FOIL SLIP DRESS,Midi dress made of metallic-effect fabric. Draped neckline and thin straps. Open back. Invisible zip fastening.,43.89,black,"['C:\\DatasetLicenta\\women_images\\FOIL SLIP DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FOIL SLIP DRESS_img_1.jpg']","XS, S, M, L",3
33,DRESSES_JUMPSUITS,FOIL SLIP DRESS,"Long dress made of metallic-effect fabric. Featuring a V-neckline, thin straps and an open back.",43.89,silver,"['C:\\DatasetLicenta\\women_images\\FOIL SLIP DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FOIL SLIP DRESS_img_1.jpg']","XS, S, M, L",3
34,DRESSES_JUMPSUITS,COMBINED NYLON JUMPSUIT,V-neck jumpsuit with thin adjustable straps. Side pockets and false rear welt pockets. Matching fabric. Invisible back zip and metal hook fastening at the front.,43.89,black,"['C:\\DatasetLicenta\\women_images\\COMBINED NYLON JUMPSUIT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\COMBINED NYLON JUMPSUIT_img_1.jpg']","XS, S, M, L",3
35,DRESSES_JUMPSUITS,SATIN DRESS,Satin dress with a V-neckline and thin straps. Featuring an open back with a matching fabric strap.,36.19,cr�me,"['C:\\DatasetLicenta\\women_images\\SATIN DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN DRESS_img_1.jpg']","XS, S, M, L",3
36,DRESSES_JUMPSUITS,FAUX LEATHER STRAPLESS DRESS,Short dress with a straight-cut neckline and exposed shoulders. Draped fabric on the side with metal links on the hem. Invisible back zip fastening.,36.19,black,"['C:\\DatasetLicenta\\women_images\\FAUX LEATHER STRAPLESS DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FAUX LEATHER STRAPLESS DRESS_img_1.jpg']","XS, S, M, L",3
37,DRESSES_JUMPSUITS,OPEN CABLE-KNIT DRESS,Long felt texture dress. Round neck and long sleeves. Perforated fabric detail. A-line hem with side slit. This garment is not lined.,43.89,brown,"['C:\\DatasetLicenta\\women_images\\OPEN CABLE-KNIT DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OPEN CABLE-KNIT DRESS_img_1.jpg']","XS, S, M, L",3
38,DRESSES_JUMPSUITS,JUMPSUIT WITH CROSSOVER BACK,V-neck jumpsuit with thin straps that cross at the back. Lining. Wide-leg design. Invisible back zip fastening.,54.89,burgundy,"['C:\\DatasetLicenta\\women_images\\JUMPSUIT WITH CROSSOVER BACK_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\JUMPSUIT WITH CROSSOVER BACK_img_1.jpg']","XS, S, M, L",3
39,DRESSES_JUMPSUITS,CUT-OUT JUMPSUIT,Flowing jumpsuit with a V-neckline and full short sleeves. Pleat details and openings at the waist. Invisible back zip fastening.,43.89,burgundy,"['C:\\DatasetLicenta\\women_images\\CUT-OUT JUMPSUIT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CUT-OUT JUMPSUIT_img_1.jpg']","XS, S, M, L",3
40,DRESSES_JUMPSUITS,SATIN CAMISOLE DRESS,Midi dress with a draped neckline and thin straps. Gathered detail on the side. Invisible zip fastening.,43.89,pink,"['C:\\DatasetLicenta\\women_images\\SATIN CAMISOLE DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN CAMISOLE DRESS_img_1.jpg']","XS, S, M, L",3
41,DRESSES_JUMPSUITS,SATIN DRESS WITH FEATHERS,Fitted midi dress made of viscose. Strapless with matching feather appliquÃ©s. Invisible zip fastening.,131.89,green,"['C:\\DatasetLicenta\\women_images\\SATIN DRESS WITH FEATHERS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN DRESS WITH FEATHERS_img_1.jpg']","XS, S, M, L",3
42,DRESSES_JUMPSUITS,DENIM TRF MIDI DRESS,Midi dress with a V-neckline and adjustable thin straps.,43.89,blue,"['C:\\DatasetLicenta\\women_images\\DENIM TRF MIDI DRESS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\DENIM TRF MIDI DRESS_img_1.jpg']","XS, S, M, L",3
43,JACKETS,PADDED JACKET WITH POCKETS,"Padded jacket with a high neck and long sleeves, Front patch pockets. Adjustable hem with matching drawstrings. Front zip fastening.",83.49,dark blue,"['C:\\DatasetLicenta\\women_images\\PADDED JACKET WITH POCKETS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PADDED JACKET WITH POCKETS_img_1.jpg']","XS, S, M, L",4
44,JACKETS,WOOL BOMBER JACKET WITH ZIP,Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,83.49,brown,"['C:\\DatasetLicenta\\women_images\\WOOL BOMBER JACKET WITH ZIP_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\WOOL BOMBER JACKET WITH ZIP_img_1.jpg']","XS, S, M, L",4
45,JACKETS,SATIN KIMONO,"Kimono made of satin fabric. Featuring a crossover V-neckline, long sleeves with vents and crossover fastening with tied detail in the same fabric",36.19,white,"['C:\\DatasetLicenta\\women_images\\SATIN KIMONO_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN KIMONO_img_1.jpg']","XS, S, M, L",4
46,JACKETS,TRANSPARENT CROPPED JACKET,"Transparent collared water-repellent jacket. Featuring long sleeves with tabs on the shoulders. Front pockets with zips, a belt in the same material with a rubberised buckle and crossover zip fastening at the front.",54.89,black,"['C:\\DatasetLicenta\\women_images\\TRANSPARENT CROPPED JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TRANSPARENT CROPPED JACKET_img_1.jpg']","XS, S, M, L",4
47,JACKETS,SATIN FOIL BOMBER JACKET,Bomber jacket made of metallic satin fabric. Round neck and long sleeves with elastic cuffs. Front welt pockets. Elastic hem. Contrast lining. Front fastening with metal zip.,54.89,gray,"['C:\\DatasetLicenta\\women_images\\SATIN FOIL BOMBER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SATIN FOIL BOMBER JACKET_img_1.jpg']","XS, S, M, L",4
48,JACKETS,WORN EFFECT LEATHER EFFECT BIKER JACKET,Distressed effect jacket with a lapel collar and long sleeves. Zip details on the front and shoulder tabs. Wrap front with zip fastening.,65.89,gray,"['C:\\DatasetLicenta\\women_images\\WORN EFFECT LEATHER EFFECT BIKER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\WORN EFFECT LEATHER EFFECT BIKER JACKET_img_1.jpg']","XS, S, M, L",4
49,JACKETS,OVERSIZE TRENCH COAT WITH POCKETS,Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,83.49,beige,"['C:\\DatasetLicenta\\women_images\\OVERSIZE TRENCH COAT WITH POCKETS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OVERSIZE TRENCH COAT WITH POCKETS_img_1.jpg']","XS, S, M, L",4
50,JACKETS,FAUX SUEDE TRENCH COAT,Trench coat made of faux suede fabric. Lapel collar and long sleeves with tabs on the cuffs and shoulders. Side pockets. Belt in the same fabric with a contrast buckle. Double-breasted button fastening at the front.,54.89,beige,"['C:\\DatasetLicenta\\women_images\\FAUX SUEDE TRENCH COAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FAUX SUEDE TRENCH COAT_img_1.jpg']","XS, S, M, L",4
51,JACKETS,SOFT SHORT JACKET,Long sleeve collared jacket. Front patch pockets with flaps and snap-button fastening at the front.,36.19,beige,"['C:\\DatasetLicenta\\women_images\\SOFT SHORT JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SOFT SHORT JACKET_img_1.jpg']","XS, S, M, L",4
52,JACKETS,RUSTIC BOMBER JACKET,"Bomber jacket made of a cotton blend. Featuring a round neckline, long sleeves and cutwork fabric. Matching ribbed trims and metal zip fastening at the front.",54.89,cr�me,"['C:\\DatasetLicenta\\women_images\\RUSTIC BOMBER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\RUSTIC BOMBER JACKET_img_1.jpg']","XS, S, M, L",4
53,JACKETS,LINEN BLEND PLEATED BOMBER JACKET,Short collared bomber jacket made of a linen blend. Long sleeves. Front welt pockets. Elastic hem with pleats. Matching lining. Zip-up front hidden by a placket.,65.89,gray,"['C:\\DatasetLicenta\\women_images\\LINEN BLEND PLEATED BOMBER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\LINEN BLEND PLEATED BOMBER JACKET_img_1.jpg']","XS, S, M, L",4
54,JACKETS,WORN EFFECT LEATHER EFFECT BOMBER JACKET,Worn effect bomber jacket with a round neckline and long cuffed sleeves. Front welt pockets. Front fastening with metal zip.,65.89,gray,"['C:\\DatasetLicenta\\women_images\\WORN EFFECT LEATHER EFFECT BOMBER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\WORN EFFECT LEATHER EFFECT BOMBER JACKET_img_1.jpg']","XS, S, M, L",4
55,JACKETS,OVERSIZE QUILTED BOMBER JACKET,Loose-fitting bomber jacket with a round neck and long sleeves. Front flap pockets with snap buttons. Matching ribbed trims. Front zip and snap-button fastening.,83.49,gray,"['C:\\DatasetLicenta\\women_images\\OVERSIZE QUILTED BOMBER JACKET_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OVERSIZE QUILTED BOMBER JACKET_img_1.jpg']","XS, S, M, L",4
56,SHIRTS_BLOUSE,BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS,Collared blouse featuring long sleeves with slit cuffs. Jabot frills on the front. Button-up front hidden by a button placket and pearl bead appliquÃ©s on the collar and cuffs.,32.89,white,"['C:\\DatasetLicenta\\women_images\\BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS_img_1.jpg']","XS, S, M, L",5
57,SHIRTS_BLOUSE,OXFORD SHIRT,"Shirt with a johnny collar, long sleeves and a button-up front.",28.49,blue,"['C:\\DatasetLicenta\\women_images\\OXFORD SHIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\OXFORD SHIRT_img_1.jpg']","XS, S, M, L",5
58,SHIRTS_BLOUSE,SEMI-SHEER RHINESTONE SHIRT,Semi-sheer collared shirt with long cuffed sleeves and front fastening with rhinestone buttons.,36.19,white,"['C:\\DatasetLicenta\\women_images\\SEMI-SHEER RHINESTONE SHIRT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SEMI-SHEER RHINESTONE SHIRT_img_1.jpg']","XS, S, M, L",5
